Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Olho d'&Aacute;gua,2510402,olho-daguense,JOANA SABINO DE ALMEIDA CARVALHO,580.470,6060,10.44,6059,99.64,0.572,28.57,40587374.13,38276255.14,9665.68,
Olivedos,2510501,olivedense,PEDRO JARSON VERISSIMO DE SOUZA,314.625,3580,11.38,3675,100,0.603,-,37273035.47,32622777.74,10926.23,
Ouro Velho,2510600,ouro-velhense,GILVANEY JOS&Eacute; VEN&Acirc;NCIO DA SILVA J&Uacute;NIOR,128.110,2918,22.78,3000,100,0.614,-,38052396.18,33944704.22,12542.35,
Parari,2510659,parariense,GENIVAL AIRES DE QUEIROZ FILHO,207.814,1720,8.28,1745,100,0.584,100,30001957.38,27810240.4,12304.05,
Passagem,2510709,passagense,ROZ&Acirc;NGELA FERREIRA SILVA,123.422,2463,19.96,2580,100,0.620,114.29,31788669.42,28045627.94,11765.11,
Patos,2510808,patoense,NABOR WANDERLEY DA NOBREGA FILHO,472.892,103165,218.16,108104,99.62,0.701,10.57,475609881.31,447338566.23,18329.13,
Paulista,2510907,paulistense,LUCAS DE SOUSA PEREIRA,577.379,11834,20.50,12172,96.4,0.587,27.52,86451132.79,86238281.63,12651.17,
Pedra Branca,2511004,pedra-branquense,ALLISON VICTO BASTOS DE SOUSA,116.873,3739,31.99,3851,100,0.599,40.82,45761345.17,36083891.67,9853.48,
Pedra Lavrada,2511103,pedra-lavradense,JOSE ANTONIO VASCONCELOS DA COSTA,335.615,6859,20.44,6980,99.1,0.574,15.38,64288787.07,61134225.03,10067.2,
Pedras de Fogo,2511202,pedras-foguense,JOS&Eacute; CARLOS FERREIRA BARROS,406.729,29662,72.93,31356,98.15,0.590,14.02,190489681.03,189541857.57,19452.45,
